district_id,district_name,ac_id,ac_name,ps_id,ps_name,doc_type,source_url,local_path,status,error
1,COOCHBEHAR,1,Mekliganj,123,Kashiabari I. C. D. S. Centre,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part123.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part123.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,117,Wahabul Ullum Junior Basic School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p117.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p117.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,124,Kashiabari 2 No. Junior Basic School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part124.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part124.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,118,Haldibari Nabakishor High School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p118.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p118.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,125,Kashiabari 2 No. Junior Basic School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part125.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part125.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,121,Wahabul Ullum High School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p121.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p121.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,126,Uttar Shantinagar Fifth Plan Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part126.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part126.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,124,Kashiabari 2 No. Junior Basic School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p124.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p124.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,127,Jorampara I. C. D. S. Centre,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part127.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part127.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,123,Kashiabari I. C. D. S. Centre,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p123.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p123.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,122,Kashiabari Jayanti Nagar Fifth Plan Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p122.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p122.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,128,Payamari Milan Sangha State Plan Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part128.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part128.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,129,Payamari Special Cadre Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part129.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part129.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,126,Uttar Shantinagar Fifth Plan Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p126.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p126.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,113,Pranmajumdar State Plan Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p113.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p113.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,130,Chikaneswari 4th Plan Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part130.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part130.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,128,Payamari Milan Sangha State Plan Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p128.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p128.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,131,Kashiabari 1 No. Aided Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part131.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part131.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,132,Sardar Para New Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part132.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part132.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,129,Payamari Special Cadre Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p129.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p129.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,133,Jhakuapara R. B. M. Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part133.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part133.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,125,Kashiabari 2 No. Junior Basic School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p125.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p125.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,133,Jhakuapara R. B. M. Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p133.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p133.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,134,Uttar Shantinagar S. S. K.,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part134.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part134.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,132,Sardar Para New Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p132.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p132.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,134,Uttar Shantinagar S. S. K.,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p134.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p134.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,135,Purbapara New Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part135.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part135.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,136,Purbapara New Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part136.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part136.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,137,Kshudiram Pally Rameshwar Dayal Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part137.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part137.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,135,Purbapara New Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p135.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p135.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,138,Dharanagar Colony State Plan Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part138.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part138.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,130,Chikaneswari 4th Plan Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p130.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p130.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,139,Arabinda Smriti R. R. Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part139.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part139.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,127,Jorampara I. C. D. S. Centre,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p127.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p127.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,140,Baladanga Junior Basic School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part140.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part140.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,131,Kashiabari 1 No. Aided Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p131.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p131.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,141,Baladanga Junior Basic School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part141.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part141.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,138,Dharanagar Colony State Plan Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p138.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p138.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,142,Haldibari High School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part142.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part142.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,136,Purbapara New Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p136.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p136.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,143,Haldibari Paschimpara Fifth Plan Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part143.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part143.pdf,downloaded,
